Date,Location,Rainfall_mm,WaterLevel_m,SoilMoisture_pct,Elevation_m,FloodOccurrence
2016-01-18,Pasig,20.1,0.6,27.3,5,0
2016-01-19,Quezon City,18.3,1.6,19.2,43,0
2016-01-19,Marikina,8.7,1.5,14.9,15,0
2016-01-19,Manila,23.3,3.0,15.5,5,0
2016-01-19,Pasig,8.8,0.5,15.8,5,0
2016-01-20,Quezon City,7.1,0.5,11.1,43,0
2016-01-20,Marikina,6.2,0.9,17.6,15,0
2016-01-20,Manila,14.8,2.0,20.5,5,0
2016-01-20,Pasig,4.5,0.6,12.1,5,0
2016-01-21,Quezon City,19.6,3.5,16.8,43,0
2016-01-21,Marikina,5.8,0.6,19.4,15,0
2016-01-21,Manila,13.6,1.1,15.2,5,0
2016-01-21,Pasig,5.0,1.1,13.0,5,0
2016-01-22,Quezon City,4.1,1.6,22.5,43,0
2016-01-22,Marikina,2.7,0.9,14.5,15,0
2016-01-22,Manila,8.3,0.5,9.7,5,0
2016-01-22,Pasig,25.8,2.3,18.8,5,0
2016-01-23,Quezon City,11.3,0.7,12.8,43,0
2016-01-23,Marikina,9.7,1.2,12.5,15,0
2016-01-23,Manila,2.0,0.5,5.0,5,0
2016-01-23,Pasig,20.6,3.5,21.9,5,0
2016-01-24,Quezon City,15.2,1.2,16.8,43,0
2016-01-24,Marikina,8.3,0.5,15.8,15,0
2016-01-24,Manila,12.2,0.5,23.8,5,0
2016-01-24,Pasig,4.0,0.5,13.1,5,0
2016-01-25,Quezon City,9.0,3.2,10.6,43,0
2016-01-25,Marikina,11.2,0.5,26.4,15,0
2016-01-25,Manila,15.3,1.4,18.6,5,0
2016-01-25,Pasig,16.4,1.0,14.0,5,0
2016-01-26,Quezon City,0.8,0.5,7.8,43,0
2016-01-26,Marikina,10.9,1.6,11.0,15,0
2016-01-26,Manila,2.4,0.5,20.4,5,0
2016-01-26,Pasig,6.6,2.0,5.0,5,0
2016-01-27,Quezon City,7.6,0.7,20.0,43,0
2016-01-27,Marikina,8.0,0.8,14.0,15,0
2016-01-27,Manila,5.8,0.5,16.0,5,0
2016-01-27,Pasig,12.3,2.5,8.5,5,0
2016-01-28,Quezon City,10.7,1.2,11.6,43,0
2016-01-28,Marikina,22.9,4.0,31.8,15,0
2016-01-28,Manila,6.8,2.2,18.3,5,0
2016-01-28,Pasig,15.4,0.5,23.0,5,0
2016-01-29,Quezon City,2.8,0.5,5.0,43,0
2016-01-29,Marikina,0.7,0.5,18.5,15,0
2016-01-29,Manila,1.5,0.5,10.5,5,0
2016-01-29,Pasig,11.2,1.8,9.1,5,0
2016-01-30,Quezon City,10.9,1.8,10.8,43,0
2016-01-30,Marikina,6.6,1.2,8.4,15,0
2016-01-30,Manila,5.4,0.5,8.7,5,0
2016-01-30,Pasig,7.2,0.8,23.4,5,0
2016-01-31,Quezon City,4.6,1.3,13.4,43,0
2016-01-31,Marikina,4.9,0.5,9.8,15,0
2016-01-31,Manila,6.7,0.5,5.0,5,0
2016-01-31,Pasig,0.7,0.5,13.2,5,0
2016-02-01,Quezon City,48.2,6.3,39.7,43,1
2016-02-01,Marikina,0.4,0.5,6.4,15,0
2016-02-01,Manila,4.8,0.7,7.0,5,0
2016-02-01,Pasig,15.7,3.0,17.8,5,0
2016-02-02,Quezon City,8.8,0.5,10.1,43,0
2016-02-02,Marikina,23.3,0.9,17.3,15,0
2016-02-02,Manila,15.9,1.6,27.5,5,0
2016-02-02,Pasig,9.2,0.5,11.3,5,0
2016-02-03,Quezon City,5.1,0.5,8.2,43,0
2016-02-03,Marikina,13.6,0.5,15.6,15,0
2016-02-03,Manila,5.1,1.0,16.3,5,0
2016-02-03,Pasig,9.7,1.5,6.5,5,0
2016-02-04,Quezon City,4.7,0.7,15.2,43,0
2016-02-04,Marikina,0.2,0.5,11.4,15,0
2016-02-04,Manila,13.2,4.1,8.3,5,0
2016-02-04,Pasig,1.7,0.5,6.5,5,0
2016-02-05,Quezon City,16.7,2.8,15.5,43,0
2016-02-05,Marikina,14.4,0.6,5.0,15,0
2016-02-05,Manila,12.6,1.4,15.3,5,0
2016-02-05,Pasig,8.9,0.7,14.9,5,0
2016-02-06,Quezon City,18.4,1.2,20.5,43,0
2016-02-06,Marikina,12.7,0.8,18.3,15,0
2016-02-06,Manila,10.3,0.8,25.5,5,0
2016-02-06,Pasig,16.1,0.6,7.9,5,0
2016-02-07,Quezon City,1.2,0.5,8.8,43,0
2016-02-07,Marikina,8.4,0.5,18.3,15,0
2016-02-07,Manila,9.9,1.2,18.8,5,0
2016-02-07,Pasig,12.6,0.8,18.0,5,0
2016-02-08,Quezon City,13.1,0.8,27.9,43,0
2016-02-08,Marikina,11.2,0.5,19.8,15,0
2016-02-08,Manila,8.8,0.5,12.0,5,0
2016-02-08,Pasig,14.9,0.5,16.1,5,0
2016-02-09,Quezon City,5.8,1.5,14.8,43,0
2016-02-09,Marikina,16.3,3.5,20.2,15,0
2016-02-09,Manila,4.3,0.6,5.9,5,0
2016-02-09,Pasig,15.0,1.4,20.8,5,0
2016-02-10,Quezon City,10.3,0.8,9.5,43,0
2016-02-10,Marikina,8.6,1.6,14.8,15,0
2016-02-10,Manila,11.8,1.4,17.0,5,0
2016-02-10,Pasig,2.9,0.5,19.4,5,0
2016-02-11,Quezon City,3.4,2.9,11.1,43,0
2016-02-11,Marikina,12.2,0.8,15.3,15,0
2016-02-11,Manila,3.4,0.5,5.0,5,0
2016-02-11,Pasig,13.1,3.0,14.9,5,0
2016-02-12,Quezon City,6.8,0.7,5.9,43,0
2016-02-12,Marikina,2.4,0.9,10.0,15,0
2016-02-12,Manila,26.9,1.7,29.1,5,0
2016-02-12,Pasig,12.1,0.5,14.7,5,0
2016-02-13,Quezon City,38.4,3.1,29.5,43,1
2016-02-13,Marikina,13.5,0.8,13.9,15,0
2016-02-13,Manila,8.1,2.2,11.3,5,0
2016-02-13,Pasig,0.3,0.5,16.4,5,0
2016-02-14,Quezon City,6.3,0.5,11.3,43,0
2016-02-14,Marikina,12.2,3.0,10.5,15,0
2016-02-14,Manila,15.9,0.9,24.3,5,0
2016-02-14,Pasig,4.5,0.9,9.6,5,0
2016-02-15,Quezon City,2.7,1.1,14.9,43,0
2016-02-15,Marikina,3.6,1.5,10.0,15,0
2016-02-15,Manila,3.1,0.5,14.6,5,0
2016-02-15,Pasig,25.7,3.6,20.2,5,0
2016-02-16,Quezon City,4.6,1.2,5.3,43,0
2016-02-16,Marikina,2.1,1.9,5.0,15,0
2016-02-16,Manila,9.8,2.0,14.4,5,0
2016-02-16,Pasig,8.1,0.8,12.2,5,0
2016-02-17,Quezon City,10.5,0.5,6.7,43,0
2016-02-17,Marikina,5.9,0.9,13.0,15,0
2016-02-17,Manila,5.3,0.5,8.8,5,0
2016-02-17,Pasig,12.4,1.7,21.3,5,0
2016-02-18,Quezon City,10.1,0.5,20.0,43,0
2016-02-18,Marikina,12.1,0.5,6.8,15,0
2016-02-18,Manila,4.9,0.5,12.6,5,0
2016-02-18,Pasig,9.7,0.5,11.8,5,0
2016-02-19,Quezon City,3.7,0.9,5.1,43,0
2016-02-19,Marikina,1.4,0.5,13.2,15,0
2016-02-19,Manila,3.9,1.0,15.5,5,0
2016-02-19,Pasig,1.9,0.5,23.8,5,0
2016-02-20,Quezon City,18.2,2.0,15.6,43,0
2016-02-20,Marikina,6.4,2.5,10.1,15,0
2016-02-20,Manila,13.8,0.5,14.1,5,0
2016-02-20,Pasig,15.9,1.3,14.3,5,0
2016-02-21,Quezon City,7.9,1.9,17.1,43,0
2016-02-21,Marikina,9.1,2.0,17.3,15,0
2016-02-21,Manila,15.0,0.5,19.8,5,0
2016-02-21,Pasig,8.0,1.0,16.1,5,0
2016-02-22,Quezon City,10.2,1.5,8.7,43,0
2016-02-22,Marikina,7.0,1.4,13.3,15,0
2016-02-22,Manila,8.5,0.5,14.4,5,0
2016-02-22,Pasig,12.0,0.7,17.1,5,0
2016-02-23,Quezon City,19.4,2.4,15.2,43,0
2016-02-23,Marikina,1.1,0.5,15.7,15,0
2016-02-23,Manila,10.2,1.7,19.5,5,0
2016-02-23,Pasig,8.6,2.3,11.7,5,0
2016-02-24,Quezon City,33.7,1.7,25.0,43,1
2016-02-24,Marikina,1.4,0.5,8.6,15,0
2016-02-24,Manila,2.3,0.5,6.6,5,0
2016-02-24,Pasig,2.7,0.5,16.3,5,0
2016-02-25,Quezon City,8.0,2.0,17.4,43,0
2016-02-25,Marikina,23.8,1.8,18.7,15,0
2016-02-25,Manila,4.9,0.5,9.7,5,0
2016-02-25,Pasig,7.3,0.5,20.8,5,0
2016-02-26,Quezon City,4.0,0.5,14.4,43,0
2016-02-26,Marikina,4.6,2.3,20.0,15,0
2016-02-26,Manila,5.0,1.0,10.6,5,0
2016-02-26,Pasig,17.5,1.0,17.9,5,0
2016-02-27,Quezon City,2.2,0.5,7.4,43,0
2016-02-27,Marikina,8.3,1.1,11.6,15,0
2016-02-27,Manila,8.2,2.0,20.0,5,0
2016-02-27,Pasig,10.8,2.9,18.8,5,0
2016-02-28,Quezon City,12.7,2.2,14.6,43,0
2016-02-28,Marikina,11.4,1.6,19.8,15,0
2016-02-28,Manila,17.3,1.1,24.5,5,0
2016-02-28,Pasig,11.8,1.3,15.1,5,0
2016-02-29,Quezon City,18.8,2.3,15.3,43,0
2016-02-29,Marikina,11.2,1.2,16.6,15,0
2016-02-29,Manila,2.3,1.7,14.9,5,0
2016-02-29,Pasig,9.8,2.6,16.1,5,0
2016-03-01,Quezon City,7.7,0.9,15.2,43,0
2016-03-01,Marikina,11.3,0.5,21.0,15,0
2016-03-01,Manila,9.2,0.5,11.1,5,0
2016-03-01,Pasig,9.2,1.3,11.8,5,0
2016-03-02,Quezon City,23.1,0.6,21.2,43,0
2016-03-02,Marikina,6.0,0.5,5.8,15,0
2016-03-02,Manila,11.5,2.3,13.2,5,0
2016-03-02,Pasig,20.0,1.9,23.3,5,0
2016-03-03,Quezon City,26.8,3.6,18.0,43,0
2016-03-03,Marikina,7.1,2.2,7.3,15,0
2016-03-03,Manila,7.8,1.0,19.5,5,0
2016-03-03,Pasig,6.9,1.1,16.3,5,0
2016-03-04,Quezon City,13.2,2.6,23.2,43,0
2016-03-04,Marikina,11.9,3.0,12.6,15,0
2016-03-04,Manila,8.1,0.5,6.9,5,0
2016-03-04,Pasig,12.5,0.5,14.0,5,0
2016-03-05,Quezon City,5.7,1.6,5.0,43,0
2016-03-05,Marikina,3.1,0.5,6.7,15,0
2016-03-05,Manila,8.3,1.4,8.4,5,0
2016-03-05,Pasig,25.9,0.5,24.0,5,0
2016-03-06,Quezon City,6.8,0.5,10.0,43,0
2016-03-06,Marikina,4.4,1.1,21.2,15,0
2016-03-06,Manila,5.2,0.8,15.5,5,0
2016-03-06,Pasig,4.2,0.5,12.4,5,0
2016-03-07,Quezon City,13.7,0.8,18.8,43,0
2016-03-07,Marikina,17.5,1.9,25.3,15,0
2016-03-07,Manila,30.2,2.7,21.7,5,1
2016-03-07,Pasig,9.7,0.5,11.6,5,0
2016-03-08,Quezon City,6.4,0.5,15.3,43,0
2016-03-08,Marikina,5.4,2.7,12.6,15,0
2016-03-08,Manila,25.2,1.4,24.8,5,0
2016-03-08,Pasig,12.5,0.5,15.0,5,0
2016-03-09,Quezon City,11.2,0.5,18.8,43,0
2016-03-09,Marikina,3.8,1.4,13.0,15,0
2016-03-09,Manila,24.6,0.8,20.0,5,0
2016-03-09,Pasig,5.2,1.9,20.0,5,0
2016-03-10,Quezon City,4.9,0.8,14.4,43,0
2016-03-10,Marikina,6.6,0.5,16.0,15,0
2016-03-10,Manila,14.4,0.5,5.0,5,0
2016-03-10,Pasig,10.6,2.2,8.8,5,0
2016-03-11,Quezon City,5.7,0.5,14.6,43,0
2016-03-11,Marikina,6.7,0.5,13.7,15,0
2016-03-11,Manila,16.6,2.3,15.8,5,0
2016-03-11,Pasig,2.2,0.5,9.4,5,0
2016-03-12,Quezon City,6.4,1.0,23.6,43,0
2016-03-12,Marikina,19.8,1.8,18.6,15,0
2016-03-12,Manila,7.9,0.7,13.8,5,0
2016-03-12,Pasig,3.3,0.5,12.0,5,0
2016-03-13,Quezon City,15.8,0.5,19.6,43,0
2016-03-13,Marikina,45.3,3.5,38.2,15,1
2016-03-13,Manila,12.9,1.6,11.2,5,0
2016-03-13,Pasig,4.8,0.7,11.4,5,0
2016-03-14,Quezon City,15.3,1.5,20.1,43,0
2016-03-14,Marikina,29.1,4.0,25.6,15,0
2016-03-14,Manila,17.7,0.7,24.8,5,0
2016-03-14,Pasig,23.9,1.6,23.5,5,0
2016-03-15,Quezon City,7.9,1.1,15.6,43,0
2016-03-15,Marikina,21.5,3.1,19.5,15,0
2016-03-15,Manila,18.6,2.6,13.2,5,0
2016-03-15,Pasig,13.1,1.4,15.8,5,0
2016-03-16,Quezon City,7.3,0.5,13.7,43,0
2016-03-16,Marikina,1.6,0.5,5.8,15,0
2016-03-16,Manila,4.9,0.7,5.8,5,0
2016-03-16,Pasig,4.6,2.7,8.9,5,0
2016-03-17,Quezon City,16.4,1.2,16.6,43,0
2016-03-17,Marikina,8.2,0.5,7.2,15,0
2016-03-17,Manila,16.8,2.4,30.6,5,0
2016-03-17,Pasig,12.6,1.5,20.1,5,0
2016-03-18,Quezon City,9.0,0.7,14.2,43,0
2016-03-18,Marikina,12.4,1.1,7.7,15,0
2016-03-18,Manila,3.4,0.5,6.2,5,0
2016-03-18,Pasig,11.2,2.1,10.7,5,0
2016-03-19,Quezon City,3.5,0.5,10.6,43,0
2016-03-19,Marikina,12.4,1.6,13.2,15,0
2016-03-19,Manila,11.5,2.5,16.9,5,0
2016-03-19,Pasig,9.2,2.1,12.5,5,0
2016-03-20,Quezon City,11.1,0.5,12.0,43,0
2016-03-20,Marikina,2.2,0.5,19.8,15,0
2016-03-20,Manila,14.2,2.3,13.5,5,0
2016-03-20,Pasig,6.6,0.9,19.5,5,0
2016-03-21,Quezon City,4.2,0.7,6.2,43,0
2016-03-21,Marikina,13.1,2.5,18.6,15,0
2016-03-21,Manila,23.8,1.0,19.1,5,0
2016-03-21,Pasig,7.8,1.2,26.8,5,0
2016-03-22,Quezon City,4.3,0.5,20.5,43,0
2016-03-22,Marikina,12.6,0.5,24.4,15,0
2016-03-22,Manila,4.5,0.5,12.4,5,0
2016-03-22,Pasig,9.9,1.5,7.2,5,0
2016-03-23,Quezon City,30.8,1.9,31.5,43,1
2016-03-23,Marikina,24.5,2.5,24.3,15,0
2016-03-23,Manila,4.7,0.5,15.0,5,0
2016-03-23,Pasig,9.5,2.5,7.7,5,0
2016-03-24,Quezon City,6.5,1.3,18.7,43,0
2016-03-24,Marikina,6.5,0.8,19.3,15,0
2016-03-24,Manila,34.1,2.9,29.0,5,1
2016-03-24,Pasig,10.9,2.0,19.0,5,0
2016-03-25,Quezon City,4.2,0.5,5.4,43,0
2016-03-25,Marikina,13.8,0.5,11.4,15,0
2016-03-25,Manila,11.1,1.4,28.0,5,0
2016-03-25,Pasig,8.3,0.7,14.6,5,0
2016-03-26,Quezon City,15.8,2.1,16.4,43,0
2016-03-26,Marikina,12.8,0.5,15.5,15,0
2016-03-26,Manila,12.3,1.3,11.7,5,0
2016-03-26,Pasig,9.5,1.8,14.6,5,0
2016-03-27,Quezon City,20.9,0.5,23.2,43,0
2016-03-27,Marikina,8.8,0.7,11.4,15,0
2016-03-27,Manila,8.7,0.5,17.0,5,0
2016-03-27,Pasig,4.8,0.5,7.7,5,0
2016-03-28,Quezon City,2.7,0.5,14.3,43,0
2016-03-28,Marikina,11.3,2.6,14.6,15,0
2016-03-28,Manila,9.3,0.5,13.0,5,0
2016-03-28,Pasig,6.0,0.5,9.9,5,0
2016-03-29,Quezon City,6.1,0.5,13.9,43,0
2016-03-29,Marikina,15.7,2.5,5.1,15,0
2016-03-29,Manila,2.3,1.4,10.0,5,0
2016-03-29,Pasig,6.5,0.5,10.4,5,0
2016-03-30,Quezon City,5.3,0.5,14.6,43,0
2016-03-30,Marikina,8.1,0.7,20.0,15,0
2016-03-30,Manila,8.2,2.0,9.4,5,0
2016-03-30,Pasig,3.9,0.5,5.1,5,0
2016-03-31,Quezon City,21.9,3.3,19.9,43,0
2016-03-31,Marikina,3.0,0.5,14.9,15,0
2016-03-31,Manila,31.5,3.4,22.7,5,1
2016-03-31,Pasig,14.6,0.7,17.5,5,0
2016-04-01,Quezon City,11.7,0.9,12.5,43,0
2016-04-01,Marikina,8.9,1.1,12.6,15,0
2016-04-01,Manila,2.3,0.9,6.3,5,0
2016-04-01,Pasig,18.3,2.5,25.1,5,0
2016-04-02,Quezon City,16.6,0.5,14.5,43,0
2016-04-02,Marikina,5.5,1.1,19.4,15,0
2016-04-02,Manila,11.6,2.6,26.6,5,0
2016-04-02,Pasig,26.2,3.7,25.8,5,0
2016-04-03,Quezon City,6.2,0.5,8.9,43,0
2016-04-03,Marikina,2.5,0.5,21.5,15,0
2016-04-03,Manila,7.0,0.5,12.1,5,0
2016-04-03,Pasig,15.7,1.9,17.0,5,0
2016-04-04,Quezon City,6.8,1.6,21.4,43,0
2016-04-04,Marikina,14.0,0.5,17.9,15,0
2016-04-04,Manila,11.2,1.2,12.3,5,0
2016-04-04,Pasig,1.9,1.9,12.5,5,0
2016-04-05,Quezon City,10.0,2.8,28.0,43,0
2016-04-05,Marikina,13.0,2.0,22.9,15,0
2016-04-05,Manila,7.5,1.6,7.6,5,0
2016-04-05,Pasig,3.7,0.5,10.8,5,0
2016-04-06,Quezon City,5.1,1.2,15.5,43,0
2016-04-06,Marikina,21.6,1.6,26.8,15,0
2016-04-06,Manila,7.5,0.5,13.8,5,0
2016-04-06,Pasig,3.0,0.5,15.1,5,0
2016-04-07,Quezon City,25.2,0.8,20.6,43,0
2016-04-07,Marikina,21.7,3.4,13.2,15,0
2016-04-07,Manila,5.3,0.7,25.4,5,0
2016-04-07,Pasig,4.6,1.7,22.6,5,0
2016-04-08,Quezon City,16.8,1.7,21.4,43,0
2016-04-08,Marikina,20.0,1.5,19.1,15,0
2016-04-08,Manila,13.7,0.5,21.6,5,0
2016-04-08,Pasig,14.6,0.5,13.7,5,0
2016-04-09,Quezon City,7.8,1.0,13.3,43,0
2016-04-09,Marikina,12.6,1.8,22.4,15,0
2016-04-09,Manila,7.0,1.9,8.7,5,0
2016-04-09,Pasig,1.0,0.5,8.1,5,0
2016-04-10,Quezon City,9.3,2.0,5.8,43,0
2016-04-10,Marikina,7.1,0.5,16.1,15,0
2016-04-10,Manila,2.8,0.5,5.0,5,0
2016-04-10,Pasig,6.1,0.5,21.4,5,0
2016-04-11,Quezon City,5.0,0.9,14.8,43,0
2016-04-11,Marikina,5.2,0.5,12.1,15,0
2016-04-11,Manila,3.9,0.5,7.8,5,0
2016-04-11,Pasig,3.7,0.5,19.3,5,0
2016-04-12,Quezon City,8.2,0.9,10.4,43,0
2016-04-12,Marikina,3.0,0.5,15.2,15,0
2016-04-12,Manila,8.8,0.8,17.0,5,0
2016-04-12,Pasig,5.0,0.5,16.5,5,0
2016-04-13,Quezon City,10.4,1.1,8.4,43,0
2016-04-13,Marikina,10.8,0.5,11.7,15,0
2016-04-13,Manila,9.7,0.7,20.6,5,0
2016-04-13,Pasig,9.4,1.0,10.6,5,0
2016-04-14,Quezon City,3.2,0.5,5.0,43,0
2016-04-14,Marikina,29.2,5.0,27.7,15,0
2016-04-14,Manila,8.5,0.5,10.6,5,0
2016-04-14,Pasig,8.0,0.5,10.8,5,0
2016-04-15,Quezon City,5.6,0.5,8.0,43,0
2016-04-15,Marikina,9.0,0.5,13.0,15,0
2016-04-15,Manila,15.4,0.6,17.3,5,0
2016-04-15,Pasig,8.3,2.0,12.0,5,0
2016-04-16,Quezon City,9.1,1.3,7.4,43,0
2016-04-16,Marikina,20.7,3.4,18.1,15,0
2016-04-16,Manila,8.8,1.9,18.7,5,0
2016-04-16,Pasig,13.3,0.9,15.0,5,0
2016-04-17,Quezon City,3.6,0.5,13.9,43,0
2016-04-17,Marikina,9.7,2.4,15.0,15,0
2016-04-17,Manila,7.8,1.9,16.2,5,0
2016-04-17,Pasig,21.4,3.1,19.8,5,0
2016-04-18,Quezon City,18.6,1.1,32.2,43,0
2016-04-18,Marikina,12.8,2.6,17.2,15,0
2016-04-18,Manila,3.4,0.5,17.4,5,0
2016-04-18,Pasig,19.9,2.0,26.4,5,0
2016-04-19,Quezon City,3.4,0.5,9.2,43,0
2016-04-19,Marikina,6.0,0.5,21.1,15,0
2016-04-19,Manila,18.9,1.8,27.1,5,0
2016-04-19,Pasig,19.0,2.2,15.0,5,0
2016-04-20,Quezon City,2.8,0.5,17.3,43,0
2016-04-20,Marikina,12.2,0.5,20.5,15,0
2016-04-20,Manila,9.2,1.9,24.3,5,0
2016-04-20,Pasig,2.4,0.7,13.0,5,0
2016-04-21,Quezon City,13.1,1.6,22.1,43,0
2016-04-21,Marikina,13.3,0.5,16.0,15,0
2016-04-21,Manila,17.7,2.0,18.2,5,0
2016-04-21,Pasig,7.9,0.7,11.3,5,0
2016-04-22,Quezon City,10.7,0.6,16.3,43,0
2016-04-22,Marikina,14.2,2.0,20.8,15,0
2016-04-22,Manila,3.6,1.0,17.2,5,0
2016-04-22,Pasig,6.1,2.4,14.9,5,0
2016-04-23,Quezon City,7.0,0.5,11.8,43,0
2016-04-23,Marikina,6.6,0.5,8.0,15,0
2016-04-23,Manila,16.1,2.3,26.6,5,0
2016-04-23,Pasig,4.8,1.6,12.8,5,0
2016-04-24,Quezon City,3.7,0.6,13.0,43,0
2016-04-24,Marikina,13.2,2.3,17.5,15,0
2016-04-24,Manila,0.2,1.5,13.5,5,0
2016-04-24,Pasig,6.3,1.6,12.5,5,0
2016-04-25,Quezon City,23.7,1.4,28.4,43,0
2016-04-25,Marikina,14.5,0.6,16.0,15,0
2016-04-25,Manila,7.2,2.4,13.8,5,0
2016-04-25,Pasig,4.9,0.5,13.4,5,0
2016-04-26,Quezon City,0.7,0.5,8.2,43,0
2016-04-26,Marikina,2.2,0.5,10.7,15,0
2016-04-26,Manila,4.7,0.5,10.8,5,0
2016-04-26,Pasig,10.6,1.4,22.0,5,0
2016-04-27,Quezon City,7.2,0.5,14.7,43,0
2016-04-27,Marikina,6.4,0.6,9.2,15,0
2016-04-27,Manila,17.4,0.5,15.2,5,0
2016-04-27,Pasig,1.3,0.9,5.0,5,0
2016-04-28,Quezon City,22.6,2.4,18.9,43,0
2016-04-28,Marikina,23.7,1.5,26.3,15,0
2016-04-28,Manila,0.7,0.5,9.3,5,0
2016-04-28,Pasig,7.5,1.3,14.1,5,0
2016-04-29,Quezon City,7.3,2.1,8.2,43,0
2016-04-29,Marikina,7.7,1.0,13.9,15,0
2016-04-29,Manila,14.3,1.8,14.1,5,0
2016-04-29,Pasig,2.9,0.5,12.0,5,0
2016-04-30,Quezon City,4.8,0.6,9.7,43,0
2016-04-30,Marikina,9.4,1.8,9.6,15,0
2016-04-30,Manila,19.7,3.7,16.6,5,0
2016-04-30,Pasig,2.8,0.5,16.0,5,0
2016-05-01,Quezon City,21.4,2.4,22.1,43,0
2016-05-01,Marikina,7.5,0.5,17.8,15,0
2016-05-01,Manila,18.4,3.0,24.4,5,0
2016-05-01,Pasig,3.1,0.5,9.5,5,0
2016-05-02,Quezon City,5.9,2.0,19.5,43,0
2016-05-02,Marikina,5.2,1.6,11.6,15,0
2016-05-02,Manila,2.8,0.5,5.2,5,0
2016-05-02,Pasig,8.2,0.8,15.5,5,0
2016-05-03,Quezon City,2.9,0.5,14.2,43,0
2016-05-03,Marikina,5.8,0.5,12.4,15,0
2016-05-03,Manila,6.2,2.2,11.8,5,0
2016-05-03,Pasig,12.5,1.2,14.8,5,0
